algorithm,seed,budget_b,evaluations_used,val_best_score,val_recall,val_fpr,test_score,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_selected_features,optimization_wall_time_sec,test_runtime_sec,test_fit_time_sec,test_predict_time_sec,total_run_wall_time_sec,best_params_json
baseline_rf_default,0,0,0,,,,-3.555386565423626,0.871823835203809,0.8188452300188855,0.9851539751169152,0.8943336904606943,0.267027027027027,42,0.0,41.087371800000255,39.62621290000243,1.4611526999979105,41.087371800000255,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
pso,0,120,120,0.8703233323158749,0.9512757132682559,0.049553571428571426,-1.46588552286514,0.8933585969003547,0.8740329908722525,0.9420938851142681,0.9067881181391596,0.16635135135135135,17,3770.8910746,26.330337899998995,25.179655300002196,1.1506764000005205,3797.221412499999,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 114}"
