Method,Accuracy,Precision,Recall,F1,FPR,Features,Optimization Time (s),Total Time (s)
Baseline,0.871823835203809,0.8188452300188855,0.9851539751169152,0.8943336904606943,0.267027027027027,42,0.0,55.548474599956535
GA,0.9079823155030852,0.8765658661134604,0.9693814523956586,0.9206402413475236,0.1672432432432432,17,5417.3962883000495,5489.78099240002
PSO,0.8933585969003547,0.8740329908722525,0.942093885114268,0.9067881181391596,0.1663513513513513,17,3770.8910746,3797.221412499999
SA,0.9077879803721518,0.8736189759632519,0.9733300979440572,0.9207829879588472,0.1725135135135135,17,5695.268615500001,5751.242139000002
VNS,0.912755672156634,0.8783346886962731,0.9768596135180446,0.924980939748718,0.1657837837837837,10,4814.763688200001,4868.599756900003
TS,0.913666618082884,0.8781858477125217,0.9789993823347746,0.9258563858638962,0.1663783783783783,19,3919.995559400181,3961.708079600241
