method,val_best_score,val_recall,val_fpr,test_accuracy,test_precision,test_recall,test_f1,test_fpr,selected_features,test_runtime_sec,source
baseline_rf_default,,,,0.871823835203809,0.8188452300188855,0.9851539751169152,0.8943336904606943,0.267027027027027,42,36.05771470000036,results/ga/b50_seed0/raw/all_runs.csv
ga,0.8657567396643185,0.9467091206166995,0.048482142857142856,0.915063401836467,0.8826476635327465,0.9754257478161122,0.926720388980289,0.1588918918918919,17,30.52076539999689,results/ga/b50_seed0/raw/all_runs.csv
pso,0.8677818808616077,0.9534961665758934,0.04973214285714286,0.9110795316523345,0.8746180986734473,0.9788229065560752,0.9237911830531411,0.17191891891891892,18,29.45284939999692,results/pso/b50_seed0/raw/all_runs.csv
sa,0.8634247649371869,0.9491390506514726,0.04446428571428571,0.9060754020308022,0.8700761826020197,0.9750066178417012,0.9195576869064089,0.1783783783783784,18,48.218900999985635,results/sa/b50_seed0/raw/all_runs.csv
