algorithm,n_runs,val_best_score_mean,val_best_score_std,val_recall_mean,val_recall_std,val_fpr_mean,val_fpr_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_fpr_mean,test_fpr_std,test_selected_features_mean,test_selected_features_std,optimization_wall_time_sec_mean,optimization_wall_time_sec_std,test_runtime_sec_mean,test_runtime_sec_std,total_run_wall_time_sec_mean,total_run_wall_time_sec_std,best_params_from_best_val
baseline_rf_default,3,,,,,,,0.8717752514210756,4.858378273342456e-05,0.818641134276935,0.00018639402481629804,0.98542604194241,0.00024198480355163505,0.8943239737016314,1.516258557281424e-05,0.26746846846846845,0.00040117917258041593,42.0,0.0,0.0,0.0,43.32350743333033,2.88433987568749,43.32350743333033,2.88433987568749,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
ga,3,0.7997901492072802,0.03502305107581745,0.9491949111120421,0.006542965696380576,0.05187499999999997,0.0019744057488835756,0.8978930832887982,0.008887980582967192,0.8742463820596075,0.007277861267172294,0.9515059266449013,0.019082722893371564,0.9111552420689604,0.008404014740850427,0.16779279279279277,0.012370596318484256,23.0,1.7320508075688772,1166.6439428666683,44.74414406135841,52.80731440000818,6.176311175091268,1219.4512572666765,38.67284973876043,"{""class_weight"": ""balanced"", ""max_depth"": 18, ""max_features"": ""sqrt"", ""min_samples_leaf"": 7, ""min_samples_split"": 5, ""n_estimators"": 202}"
pso,3,0.7460743479454989,0.06573672184059878,0.9474632368343876,0.0017809218070999045,0.05562499999999993,0.0034314069376027937,0.9008081102527976,0.009067307074966434,0.8787376451614418,0.003938947200357126,0.9510867966704902,0.01617585673983833,0.9134441710413416,0.008489460992812774,0.16079279279279277,0.005436420032602205,18.666666666666668,1.5275252316519465,1130.810443033338,60.457310847757064,53.5491165999944,11.619617709218238,1184.3595596333325,52.15581752279145,"{""class_weight"": ""balanced"", ""max_depth"": 17, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 193}"
sa,3,0.4609620418195348,0.6024407176307031,0.9556048989623919,0.023165221701289866,0.06919642857142853,0.032127352411289445,0.8974355860013926,0.023342290431157712,0.8597069167933121,0.040440794605474006,0.9751683873055089,0.015925202487874112,0.9131943028697277,0.016533816092570274,0.19780180180180176,0.07106530157466937,22.0,4.358898943540674,1263.208728233333,231.15058951602384,57.77284403332548,15.609714169419105,1320.9815722666583,221.50043864426544,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""n_estimators"": 225}"
