algorithm,val_best_score_mean,val_best_score_std,val_recall_mean,val_recall_std,val_fpr_mean,val_fpr_std,test_score_mean,test_score_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_fpr_mean,test_fpr_std,test_selected_features_mean,test_selected_features_std,optimization_wall_time_sec_mean,optimization_wall_time_sec_std,test_runtime_sec_mean,test_runtime_sec_std,test_fit_time_sec_mean,test_fit_time_sec_std,test_predict_time_sec_mean,test_predict_time_sec_std,total_run_wall_time_sec_mean,total_run_wall_time_sec_std
baseline_rf_default,,,,,,,-3.555386565423626,,0.871823835203809,,0.8188452300188855,,0.9851539751169152,,0.8943336904606943,,0.267027027027027,,42.0,,0.0,,34.64937389999977,,33.301696000002266,,1.3476699000020744,,34.64937389999977,
vns,0.9027768633952387,,0.9503959110142863,,0.04901785714285714,,-1.3864351097766787,,0.9127556721566341,,0.8783346886962731,,0.9768596135180446,,0.924980939748718,,0.16578378378378378,,10.0,,4814.763688200001,,53.836068700002215,,51.6997721000007,,2.1362900999956764,,4868.599756900003,
